Date,Closed At,Duration,Symbol,Side,Status,Account,Zone Type,Zone Grade,Entry Model,Session,Mode,Entry,Stop Loss,Take Profit,Exit Price,Size (lots),Exit Type,SL Pips,R:R,AI Score,PnL ($),PnL (%),Notes
2026-04-29 10:10:11,,,GBPNZD,SELL,EXECUTION_FAILED,,supply,B+,DIR_CLOSE,LDN,LIVE,2.30244,2.30342,2.29999,,,,9.8,2.5,70,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-29 10:10:02,,,GBPNZD,SELL,RISK_REJECTED,ACG-DEMO-3,supply,,DIR_CLOSE,LDN,LIVE,2.30244,2.30342,2.29999,,,,,,70,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($615 total) — paused 3.3h remaining at rejection (until 2026-04-29 10:26 UTC; 4.0h cooldown from last close)
2026-04-29 09:45:13,,,GBPUSD,SELL,EXECUTION_FAILED,,supply,A+,FLIP,Asia,LIVE,1.35001,1.35075,1.34261,,,,7.4,10,95,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-29 09:45:04,,,GBPUSD,SELL,RISK_REJECTED,ACG-DEMO-3,supply,,FLIP,Asia,LIVE,1.35001,1.35075,1.34261,,,,,,95,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($615 total) — paused 3.7h remaining at rejection (until 2026-04-29 10:26 UTC; 4.0h cooldown from last close)
2026-04-29 07:45:13,,,XAUUSD,SELL,EXECUTION_FAILED,,supply,A+,FLIP,Asia,LIVE,4602.22,4605.8,4544.94,,,,358,16,90,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-29 07:45:04,,,XAUUSD,SELL,RISK_REJECTED,ACG-DEMO-3,supply,,FLIP,Asia,LIVE,4602.22,4605.8,4544.94,,,,,,90,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($615 total) — paused 3.6h remaining at rejection (until 2026-04-29 08:19 UTC; 4.0h cooldown from last close)
2026-04-29 05:25:11,,,XAUUSD,SELL,EXECUTION_FAILED,,supply,A,BREAK_CANDLE,Asia,LIVE,4598.63,4604.43,4505.83,,,,580,16,80,,,Exit received from TradingView (close=4603.17) but entry was execution_failed — PnL not recorded.
2026-04-29 05:25:01,,,XAUUSD,SELL,RISK_REJECTED,ACG-DEMO-3,supply,,BREAK_CANDLE,Asia,LIVE,4598.63,4604.43,4505.83,,,,,,80,,,Exit received from TradingView (close=4603.17) but entry was execution_failed — PnL not recorded.
2026-04-29 00:05:02,,,GBPUSD,BUY,STALENESS_REJECTED,ACG-DEMO-3,demand,,FLIP,Off,LIVE,1.35034,1.34962,1.35754,,,,,,70,,,Exit received from TradingView (close=1.34988) but entry was staleness_rejected — PnL not recorded.
2026-04-29 00:05:00,,,GBPUSD,BUY,STALENESS_REJECTED,FTMO - 50K - TRAIL-1,demand,,FLIP,Off,LIVE,1.35034,1.34962,1.35754,,,,,,70,,,Exit received from TradingView (close=1.34988) but entry was staleness_rejected — PnL not recorded.
2026-04-28 11:25:11,,,GBPUSD,SELL,EXECUTION_FAILED,,supply,A+,DIR_CLOSE,LDN,LIVE,1.35092,1.35174,1.34272,,,,8.2,10,95,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-28 11:25:02,,,GBPUSD,SELL,RISK_REJECTED,ACG-DEMO-3,supply,,DIR_CLOSE,LDN,LIVE,1.35092,1.35174,1.34272,,,,,,95,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($615 total) — paused 2.6h remaining at rejection (until 2026-04-28 10:59 UTC; 4.0h cooldown from last close)
2026-04-28 09:45:11,,,USDJPY,BUY,EXECUTION_FAILED,,demand,B,FLIP,Asia,LIVE,159.213,159,159.745,,,,21.3,2.5,65,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-28 09:45:02,,,USDJPY,BUY,RISK_REJECTED,ACG-DEMO-3,demand,,FLIP,Asia,LIVE,159.213,159,159.745,,,,,,65,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($615 total) — paused 3.6h remaining at rejection (until 2026-04-28 10:22 UTC; 4.0h cooldown from last close)
2026-04-27 16:05:01,,,GBPUSD,BUY,STALENESS_REJECTED,ACG-DEMO-3,demand,,FLIP,NY,LIVE,1.35562,1.35343,1.37752,,,,,,95,,,Exit received from TradingView (close=1.35506) but entry was staleness_rejected — PnL not recorded.
2026-04-27 16:05:00,,,GBPUSD,BUY,STALENESS_REJECTED,FTMO - 50K - TRAIL-1,demand,,FLIP,NY,LIVE,1.35562,1.35343,1.37752,,,,,,95,,,Exit received from TradingView (close=1.35506) but entry was staleness_rejected — PnL not recorded.
2026-04-27 14:10:11,,,GBPNZD,BUY,EXECUTION_FAILED,,demand,B+,DIR_CLOSE,LDN,LIVE,2.29329,2.29239,2.29554,,,,9,2.5,70,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-27 14:10:02,,,GBPNZD,BUY,RISK_REJECTED,ACG-DEMO-3,demand,,DIR_CLOSE,LDN,LIVE,2.29329,2.29239,2.29554,,,,,,70,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($615 total) — paused 3.0h remaining at rejection (until 2026-04-27 14:11 UTC; 4.0h cooldown from last close)
2026-04-27 10:10:14,,,GBPNZD,BUY,EXECUTION_FAILED,,demand,B,BREAK_CANDLE,LDN,LIVE,2.299,2.29813,2.30118,,,,8.7,2.5,65,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-27 10:10:05,,,GBPNZD,BUY,RISK_REJECTED,ACG-DEMO-3,demand,,BREAK_CANDLE,LDN,LIVE,2.299,2.29813,2.30118,,,,,,65,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($781 total) — paused 2.9h remaining (resets after 4.0h)
2026-04-27 10:10:00,,,GBPNZD,BUY,FILTERED,ACG-DEMO-2,demand,,BREAK_CANDLE,LDN,LIVE,2.299,2.29813,2.30118,,,,,,65,,,Monthly loss limit: $-4145.60 loss this month (limit $-4000.00 = 8% of $50000)
2026-04-27 09:30:12,,,GBPNZD,BUY,EXECUTION_FAILED,,demand,A,FLIP,Asia,LIVE,2.2996,2.29884,2.3015,,,,7.6,2.5,85,,,Exit received from TradingView (close=2.29869) but entry was execution_failed — PnL not recorded.
2026-04-27 09:30:01,,,GBPNZD,BUY,RISK_REJECTED,ACG-DEMO-3,demand,,FLIP,Asia,LIVE,2.2996,2.29884,2.3015,,,,,,85,,,Exit received from TradingView (close=2.29869) but entry was execution_failed — PnL not recorded.
2026-04-27 09:30:00,,,GBPNZD,BUY,FILTERED,ACG-DEMO-2,demand,,FLIP,Asia,LIVE,2.2996,2.29884,2.3015,,,,,,85,,,Exit received from TradingView (close=2.29869) but entry was execution_failed — PnL not recorded.
2026-04-27 08:45:13,,,GBPUSD,BUY,EXECUTION_FAILED,,demand,A+,FLIP,Asia,LIVE,1.35362,1.35305,1.35932,,,,5.7,10,100,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-27 08:45:02,2026-04-27 09:05:00,19m,GBPUSD,BUY,CLOSED,ACG-DEMO-3,demand,A+,FLIP,Asia,LIVE,1.35362,1.35305,1.35932,1.35302,,sl_hit,5.7,10,100,-122.61,,"Received by API, awaiting worker"
2026-04-27 08:45:00,,,GBPUSD,BUY,FILTERED,ACG-DEMO-2,demand,,FLIP,Asia,LIVE,1.35362,1.35305,1.35932,,,,,,100,,,Monthly loss limit: $-4145.60 loss this month (limit $-4000.00 = 8% of $50000)
2026-04-24 17:25:00,2026-04-24 18:55:00,1h 29m,GBPUSD,SELL,CLOSED,ACG-DEMO-3,supply,A,DIR_CLOSE,NY,LIVE,1.35062,1.35176,1.33922,1.35172,,sl_hit,11.4,10,80,-125.27999999999999,,"Received by API, awaiting worker"
2026-04-24 17:25:00,,,GBPUSD,SELL,FILTERED,ACG-DEMO-2,supply,,DIR_CLOSE,NY,LIVE,1.35062,1.35176,1.33922,,,,,,80,,,Monthly loss limit: $-4145.60 loss this month (limit $-4000.00 = 8% of $50000)
2026-04-24 12:40:12,,,GBPNZD,SELL,EXECUTION_FAILED,,supply,B+,DIR_CLOSE,LDN,LIVE,2.30131,2.30222,2.29904,,,,9.1,2.5,70,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-24 12:40:02,2026-04-24 17:24:16,4h 44m,GBPNZD,SELL,CLOSED,ACG-DEMO-3,supply,B+,DIR_CLOSE,LDN,LIVE,2.30131,2.30222,2.29904,,,,9.1,2.5,70,-345.45,,"Received by API, awaiting worker"
2026-04-24 11:40:16,,,XAUUSD,BUY,EXECUTION_FAILED,,demand,B+,DIR_CLOSE,LDN,LIVE,4688.3,4684.91,4742.54,,,,339,16,70,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-24 11:40:00,2026-04-24 12:25:15,45m,XAUUSD,BUY,CLOSED,ACG-DEMO-3,demand,B+,DIR_CLOSE,LDN,LIVE,4688.3,4684.91,4742.54,,,,339,16,70,-186.03,,"Received by API, awaiting worker"
2026-04-24 11:40:00,,,XAUUSD,BUY,FILTERED,ACG-DEMO-2,demand,,DIR_CLOSE,LDN,LIVE,4688.3,4684.91,4742.54,,,,,,70,,,Monthly loss limit: $-4145.02 loss this month (limit $-4000.00 = 8% of $50000)
2026-04-24 11:25:02,,,GBPNZD,BUY,SYMBOL_BLACKLISTED,,demand,,DIR_CLOSE,LDN,LIVE,2.30085,2.29997,2.30305,,,,,,80,,,Symbol GBPNZD not in profitable whitelist (see PROFITABLE_SYMBOLS in worker.py)
2026-04-24 09:35:29,,,GBPUSD,BUY,EXECUTION_FAILED,,demand,B+,FLIP,Asia,LIVE,1.34657,1.3457,1.35527,,,,8.7,10,75,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-24 09:35:01,2026-04-24 12:21:02,2h 46m,GBPUSD,BUY,CLOSED,ACG-DEMO-3,demand,B+,FLIP,Asia,LIVE,1.34657,1.3457,1.35527,,,,8.7,10,75,280.63,,"Received by API, awaiting worker"
2026-04-24 09:35:00,,,GBPUSD,BUY,FILTERED,ACG-DEMO-2,demand,,FLIP,Asia,LIVE,1.34657,1.3457,1.35527,,,,,,75,,,Monthly loss limit: $-4145.02 loss this month (limit $-4000.00 = 8% of $50000)
2026-04-24 02:10:02,,,XAUUSD,SELL,SWAP_REJECTED,ACG-DEMO-3,supply,,BREAK_CANDLE,Off,LIVE,4690.45,4695.79,4605.01,,,,,,85,,,SWAP_QUOTES_UNAVAILABLE: XAUUSD signal rejected — live spread unavailable
2026-04-24 02:10:00,,,XAUUSD,SELL,SWAP_REJECTED,FTMO - TRAIL - 50K,supply,,BREAK_CANDLE,Off,LIVE,4690.45,4695.79,4605.01,,,,,,85,,,SWAP_QUOTES_UNAVAILABLE: XAUUSD signal rejected — live spread unavailable
2026-04-23 15:00:14,,,GBPUSD,SELL,EXECUTION_FAILED,,supply,B,FLIP,LDN,LIVE,1.35058,1.35161,1.34028,,,,10.3,10,60,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-23 15:00:04,2026-04-24 08:08:15,17h 8m,GBPUSD,SELL,CLOSED,ACG-DEMO-3,supply,B,FLIP,LDN,LIVE,1.35058,1.35161,1.34028,,,,10.3,10,60,-103.67999999999999,,"Received by API, awaiting worker"
2026-04-23 14:35:11,,,GBPUSD,SELL,EXECUTION_FAILED,,supply,A+,FLIP,LDN,LIVE,1.34932,1.34987,1.34382,,,,5.5,10,95,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-23 14:35:02,2026-04-23 14:55:50,20m,GBPUSD,SELL,CLOSED,ACG-DEMO-3,supply,A+,FLIP,LDN,LIVE,1.34932,1.34987,1.34382,,,,5.5,10,95,-137.02,,"Received by API, awaiting worker"
2026-04-23 09:25:11,2026-04-23 14:27:20,5h 2m,GBPUSD,BUY,CLOSED,ACG-DEMO-3,demand,A,DIR_CLOSE,Asia,LIVE,1.34898,1.34845,1.35428,,,,5.3,10,80,-210.06,,
2026-04-23 09:25:02,,,GBPUSD,BUY,EXECUTION_FAILED,,demand,A,DIR_CLOSE,Asia,LIVE,1.34898,1.34845,1.35428,,,,5.3,10,80,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-23 09:25:00,,,GBPUSD,BUY,FILTERED,ACG-DEMO-2,demand,,DIR_CLOSE,Asia,LIVE,1.34898,1.34845,1.35428,,,,,,80,,,Monthly loss limit: $-4145.02 loss this month (limit $-4000.00 = 8% of $50000)
2026-04-23 04:05:11,2026-04-23 06:40:01,2h 34m,GBPUSD,SELL,CLOSED,ACG-DEMO-3,supply,A+,FLIP,Asia,LIVE,1.35076,1.35133,1.34506,1.34853,,time_stop,5.7,10,90,430.35999999999996,,
2026-04-23 04:05:01,,,GBPUSD,SELL,EXECUTION_FAILED,,supply,A+,FLIP,Asia,LIVE,1.35076,1.35133,1.34506,,,,5.7,10,90,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-23 04:05:00,,,GBPUSD,SELL,FILTERED,ACG-DEMO-2,supply,,FLIP,Asia,LIVE,1.35076,1.35133,1.34506,,,,,,90,,,Monthly loss limit: $-4145.02 loss this month (limit $-4000.00 = 8% of $50000)
2026-04-23 00:10:01,,,GBPUSD,SELL,SWAP_REJECTED,ACG-DEMO-3,supply,,DIR_CLOSE,Off,LIVE,1.35026,1.35108,1.34206,,,,,,80,,,SWAP_BLACKOUT: GBPUSD signal rejected — broker rollover window (00:00 Asia/Jerusalem ±15/15min)
2026-04-23 00:10:00,,,GBPUSD,SELL,SWAP_REJECTED,FTMO - TRAIL - 50K,supply,,DIR_CLOSE,Off,LIVE,1.35026,1.35108,1.34206,,,,,,80,,,SWAP_BLACKOUT: GBPUSD signal rejected — broker rollover window (00:00 Asia/Jerusalem ±15/15min)
2026-04-23 00:10:00,,,GBPUSD,SELL,SWAP_REJECTED,ACG-DEMO-2,supply,,DIR_CLOSE,Off,LIVE,1.35026,1.35108,1.34206,,,,,,80,,,SWAP_BLACKOUT: GBPUSD signal rejected — broker rollover window (00:00 Asia/Jerusalem ±15/15min)
2026-04-22 17:40:02,,,GBPUSD,BUY,RISK_REJECTED,ACG-DEMO-3,demand,,DIR_CLOSE,NY,LIVE,1.35166,1.35065,1.36176,,,,,,95,,,Exit received from TradingView (close=1.34991) but entry was filtered — PnL not recorded.
2026-04-22 17:40:00,,,GBPUSD,BUY,FILTERED,ACG-DEMO-2,demand,,DIR_CLOSE,NY,LIVE,1.35166,1.35065,1.36176,,,,,,95,,,Exit received from TradingView (close=1.34991) but entry was filtered — PnL not recorded.
2026-04-22 15:35:02,,,GBPNZD,SELL,SYMBOL_BLACKLISTED,,supply,,FLIP,NY,LIVE,2.28618,2.2868,2.28463,,,,,,90,,,Symbol GBPNZD not in profitable whitelist (see PROFITABLE_SYMBOLS in worker.py)
2026-04-22 08:35:02,,,GBPUSD,SELL,RISK_REJECTED,ACG-DEMO-3,supply,,FLIP,Asia,LIVE,1.35236,1.35373,1.33866,,,,,,95,,,Exit received from TradingView (close=1.35269) but entry was filtered — PnL not recorded.
2026-04-22 08:35:00,,,GBPUSD,SELL,FILTERED,ACG-DEMO-2,supply,,FLIP,Asia,LIVE,1.35236,1.35373,1.33866,,,,,,95,,,Exit received from TradingView (close=1.35269) but entry was filtered — PnL not recorded.
2026-04-22 01:10:02,2026-04-22 02:15:01,1h 4m,XAUUSD,SELL,CLOSED,ACG-DEMO-3,supply,B+,DIR_CLOSE,Off,LIVE,4720.76,4729.77,4576.6,4727.54,,sl_hit,901,16,75,-68.52999999999999,,"Received by API, awaiting worker"
2026-04-22 01:10:00,,,XAUUSD,SELL,FILTERED,ACG-DEMO-2,supply,,DIR_CLOSE,Off,LIVE,4720.76,4729.77,4576.6,,,,,,75,,,Monthly loss limit: $-4145.02 loss this month (limit $-4000.00 = 8% of $50000)
